".\Codemasters\Advanced Pinball Simulator (Codemasters 1989).ft.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "774",  "0",  "30CDB7FF",  "1",  "5",  "918500",  "DD3DE175",  "Visiload T1",  
".\Codemasters\All Terrain Vehicle Simulator (Codemasters 1987).ft.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "688",  "0",  "66ACDA56",  "1",  "5",  "812467",  "DD3DE175",  "Visiload T1",  
".\Codemasters\Arcade Flight Simulator (Codemasters 1989).ft.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "649",  "0",  "7E0B1C3D",  "1",  "5",  "767173",  "DD3DE175",  "Visiload T1",  
".\Codemasters\Arcade Flight Simulator (Codemasters 1989).slc.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "649",  "0",  "7E0B1C3D",  "1",  "5",  "767173",  "DD3DE175",  "Visiload T1",  
".\Codemasters\BMX Freestyle (Codemasters 1989).ft.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "805",  "0",  "4C937901",  "1",  "5",  "945913",  "DD3DE175",  "Visiload T1",  
".\Codemasters\BMX Simulator (Codemasters 1986).ft.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "699",  "0",  "41F1C17A",  "1",  "5",  "831330",  "DD3DE175",  "Visiload T1",  
".\Codemasters\BMX Simulator II (Expert) (Codemasters 1989).slc.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "743",  "0",  "50322D97",  "1",  "5",  "856851",  "DD3DE175",  "Visiload T1",  
".\Codemasters\BMX Simulator II (Standard) (Codemasters 1989).slc.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "730",  "0",  "4F8501F2",  "1",  "5",  "850612",  "DD3DE175",  "Visiload T1",  
".\Codemasters\Bigfoot (Codemasters 1990).ft.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "787",  "0",  "E9E5C325",  "1",  "5",  "906166",  "DD3DE175",  "Visiload T1",  
".\Codemasters\CJ In The USA (Codemasters 1991).ft.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "656",  "0",  "4B60DD0D",  "1",  "5",  "784023",  "DD3DE175",  "Visiload T1",  
".\Codemasters\CJ's Elephant Antics (Codemasters 1991).slc.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "1025",  "0",  "1104243A",  "1",  "5",  "1187979",  "DD3DE175",  "Visiload T1",  
".\Codemasters\Championship Jetski Simulator (Easy) (Codemasters 1989).slc.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "652",  "0",  "2450DF50",  "1",  "5",  "786424",  "DD3DE175",  "Visiload T1",  
".\Codemasters\Championship Jetski Simulator (Hard) (Codemasters 1989).slc.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "663",  "0",  "8EA754DF",  "1",  "5",  "779850",  "DD3DE175",  "Visiload T1",  
".\Codemasters\Cosmonut (Codemasters 1987).ft.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "773",  "0",  "043F83A7",  "1",  "5",  "904858",  "DD3DE175",  "Visiload T1",  
".\Codemasters\DJ Puffs Volcanic Capers (Codemasters 1992).ft.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "512",  "0",  "8A789E81",  "1",  "5",  "609239",  "DD3DE175",  "Visiload T1",  
".\Codemasters\Dizzy (Codemasters 1988).slc.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "584",  "0",  "8FD69124",  "1",  "5",  "707041",  "DD3DE175",  "Visiload T1",  
".\Codemasters\Dizzy - Bubble Dizzy (Codemasters 1992).ft.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "640",  "0",  "B29594C4",  "1",  "5",  "756473",  "DD3DE175",  "Visiload T1",  
".\Codemasters\Dizzy - Down The Rapids (Codemasters 1992).ft.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "511",  "0",  "DF6F6D5A",  "1",  "5",  "615613",  "DD3DE175",  "Visiload T1",  
".\Codemasters\Dizzy - Fantasy World Dizzy (Codemasters 1990).ft.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "581",  "0",  "FEF5F9CC",  "1",  "5",  "694534",  "DD3DE175",  "Visiload T1",  
